NAMESPACE     NAME                                                   READY   STATUS      RESTARTS             AGE     IP                NODE     NOMINATED NODE   READINESS GATES
monitoring    monitoring-grafana-5ff5b8b6b7-m99sh                    3/3     Running     0                    25h     10.42.4.9         k3s-w2   <none>           <none>
monitoring    monitoring-kube-prometheus-operator-7bfb6fff69-hvhbl   1/1     Running     0                    25h     10.42.4.8         k3s-w2   <none>           <none>
monitoring    monitoring-kube-state-metrics-69f7666d6d-7ktc6         1/1     Running     0                    25h     10.42.0.14        k3s-s1   <none>           <none>
monitoring    monitoring-prometheus-node-exporter-47f25              0/1     Running     9 (<invalid> ago)    43h     192.168.228.132   k3s-w1   <none>           <none>
monitoring    monitoring-prometheus-node-exporter-gbkqb              1/1     Running     1 (24h ago)          43h     192.168.228.133   k3s-w2   <none>           <none>
monitoring    monitoring-prometheus-node-exporter-gqphl              1/1     Running     1 (26h ago)          43h     192.168.228.129   k3s-s1   <none>           <none>
monitoring    monitoring-prometheus-node-exporter-s482s              1/1     Running     3 (<invalid> ago)    43h     192.168.228.131   k3s-s3   <none>           <none>
monitoring    monitoring-prometheus-node-exporter-wpfzj              1/1     Running     3 (<invalid> ago)    43h     192.168.228.130   k3s-s2   <none>           <none>
monitoring    prometheus-monitoring-kube-prometheus-prometheus-0     2/2     Running     0                    78s     10.42.1.11        k3s-s2   <none>           <none>
testapp       nginx-test-f8f6dcbc6-4qc8w                             1/1     Running     0                    25h     10.42.0.16        k3s-s1   <none>           <none>
testapp       nginx-test-f8f6dcbc6-ppqlv                             1/1     Running     0                    3m23s   10.42.2.18        k3s-s3   <none>           <none>
testapp       nginx-test-f8f6dcbc6-ztpzk                             1/1     Running     8 (<invalid> ago)    3h15m   10.42.3.28        k3s-w1   <none>           <none>
