scenario,run,requests_total,success,failed,success_rate_pct,error_rate_pct,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,timeouts,node_notready_observed,manual_intervention_observed
pod-failure,run-01,115,115,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-02,105,105,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-03,138,138,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-04,139,139,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-05,96,96,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-06,99,99,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-07,117,117,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-08,131,131,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-09,122,122,0,100.00,0.00,,,,,,,0,no,no
pod-failure,run-10,76,76,0,100.00,0.00,,,,,,,0,no,no
node-failure-worker,run-01-k3s-w1,272,272,0,100.00,0.00,,,,,,,0,yes,no
node-failure-worker,run-02-k3s-w2,228,217,11,95.18,4.82,,,,,,,10,yes,no
node-failure-worker,run-03-k3s-w2,240,231,9,96.25,3.75,,,,,,,9,yes,no
node-failure-worker,run-04-k3s-w2,123,113,10,91.87,8.13,,,,,,,10,yes,no
node-failure-worker,run-05-k3s-w2,227,219,8,96.48,3.52,,,,,,,8,yes,no
node-failure-worker,run-06-k3s-w2,237,225,12,94.94,5.06,,,,,,,12,yes,no
node-failure-worker,run-07-k3s-w2,220,213,7,96.82,3.18,,,,,,,7,yes,no
node-failure-worker,run-08-k3s-w2,210,199,11,94.76,5.24,,,,,,,10,yes,no
node-failure-worker,run-09-k3s-w2,216,209,7,96.76,3.24,,,,,,,7,yes,no
node-failure-worker,run-10-k3s-w2,194,184,10,94.85,5.15,,,,,,,10,yes,no
node-failure-server,run-01-k3s-s2,568,555,13,97.71,2.29,,,,,,,12,yes,yes
node-failure-server,run-02-k3s-s3,559,549,10,98.21,1.79,,,,,,,10,yes,yes
node-failure-server,run-03-k3s-s2,611,603,8,98.69,1.31,,,,,,,7,yes,yes
node-failure-server,run-04-k3s-s3,447,439,8,98.21,1.79,,,,,,,8,yes,yes
node-failure-server,run-05-k3s-s2,267,257,10,96.25,3.75,,,,,,,10,yes,yes
node-failure-server,run-06-k3s-s3,414,414,0,100.00,0.00,,,,,,,0,yes,yes
node-failure-server,run-07-k3s-s2,442,433,9,97.96,2.04,,,,,,,9,yes,yes
node-failure-server,run-08-k3s-s3,440,440,0,100.00,0.00,,,,,,,0,yes,yes
node-failure-server,run-09-k3s-s2,442,432,10,97.74,2.26,,,,,,,9,yes,yes
node-failure-server,run-10-k3s-s3,480,480,0,100.00,0.00,,,,,,,0,yes,yes
