scenario,phase,runs,avg_requests_total,avg_success_rate_pct,avg_error_rate_pct,avg_median_ms,avg_p95_ms,avg_p99_ms,avg_timeouts,avg_recovery_latency_s,median_recovery_latency_s
latency-10min-async-limited,after,10,125.80,100.00,0.00,3.36,5.17,27.19,,1.16,1.09
latency-10min-async-limited,baseline,10,179.70,100.00,0.00,3.27,5.08,7.00,,1.16,1.09
latency-10min-async-limited,fault,10,1520.90,0.17,99.83,2017.32,80440.83,140519.66,,1.16,1.09
latency-10min-async-limited,overall,10,1826.40,17.56,82.44,1109.74,45342.10,140099.25,,1.16,1.09
latency-1min-short,after,10,133.00,100.00,0.00,5.08,9.27,11.59,,51.12,43.78
latency-1min-short,baseline,10,180.00,100.00,0.00,4.36,9.03,12.05,,51.12,43.78
latency-1min-short,fault,10,16.20,12.68,87.32,21392.39,464632.46,522388.46,,51.12,43.78
latency-1min-short,overall,10,329.20,95.42,4.58,4.72,1234.72,44876.27,,51.12,43.78
latency-1s-short,after,10,182.00,100.00,0.00,5.94,11.89,2008.18,,11.57,11.49
latency-1s-short,baseline,10,179.00,100.00,0.00,5.00,10.08,13.37,,11.57,11.49
latency-1s-short,fault,10,104.80,100.00,0.00,2008.41,2013.09,101386.49,,11.57,11.49
latency-1s-short,overall,10,465.80,100.00,0.00,6.78,2010.57,2014.60,,11.57,11.49
latency-30min-async-limited,after,10,54.00,99.81,0.19,3.55,4.92,9.96,,1.37,1.30
latency-30min-async-limited,baseline,10,179.30,100.00,0.00,3.18,5.09,7.55,,1.37,1.30
latency-30min-async-limited,fault,10,2873.20,0.04,99.96,1534.05,7802.43,324169.02,,1.37,1.30
latency-30min-async-limited,overall,10,3106.50,9.04,90.96,1117.04,6681.23,303008.09,,1.37,1.30
link-cut-10min,after,10,185.40,100.00,0.00,3.37,4.83,6.59,0.00,0.49,0.58
link-cut-10min,baseline,10,179.50,100.00,0.00,3.13,5.03,6.83,0.00,0.49,0.58
link-cut-10min,fault,10,505.10,0.91,99.09,1353.69,3091.57,131324.73,1.00,0.49,0.58
link-cut-10min,overall,10,870.00,42.54,57.46,198.35,3066.05,129688.22,1.00,0.49,0.58
link-cut-1min,after,10,175.90,100.00,0.00,3.08,4.97,6.85,0.00,2.25,2.68
link-cut-1min,baseline,10,179.70,100.00,0.00,3.24,4.88,6.17,0.00,2.25,2.68
link-cut-1min,fault,10,14.50,87.23,12.77,149758.14,162993.92,162998.48,0.00,2.25,2.68
link-cut-1min,overall,10,370.10,99.09,0.92,3.24,224.72,162508.70,0.00,2.25,2.68
link-cut-1s,after,10,124.10,100.00,0.00,3.21,4.66,5.65,0.00,0.39,0.49
link-cut-1s,baseline,10,139.10,100.00,0.00,2.70,4.70,6.95,0.00,0.39,0.49
link-cut-1s,fault,10,2.10,100.00,0.00,2.86,208.14,208.14,0.00,0.39,0.49
link-cut-1s,overall,10,265.30,100.00,0.00,2.83,4.73,7.12,0.00,0.39,0.49
link-cut-30min,after,10,185.60,100.00,0.00,3.19,4.68,6.35,0.00,0.46,0.40
link-cut-30min,baseline,10,179.60,100.00,0.00,3.06,4.82,6.12,0.00,0.46,0.40
link-cut-30min,fault,10,1713.30,0.21,99.79,1140.74,3099.09,3347.83,1.00,0.46,0.40
link-cut-30min,overall,10,2078.50,17.74,82.26,1089.08,3095.63,3169.27,1.00,0.46,0.40
packet-loss-100pct-safety-cleanup,after,10,166.10,100.00,0.00,3.48,4.95,6.18,0.00,0.45,0.31
packet-loss-100pct-safety-cleanup,baseline,10,179.60,100.00,0.00,3.31,4.95,6.93,0.00,0.45,0.31
packet-loss-100pct-safety-cleanup,fault,10,505.50,0.64,99.36,1426.04,9626.27,151997.62,1.00,0.45,0.31
packet-loss-100pct-safety-cleanup,overall,10,851.20,40.23,59.77,287.77,3087.60,59437.26,1.00,0.45,0.31
packet-loss-10pct-async-limited,after,10,108.60,100.00,0.00,3.41,5.04,7.30,0.00,0.60,0.53
packet-loss-10pct-async-limited,baseline,10,162.10,100.00,0.00,3.35,5.08,6.39,0.00,0.60,0.53
packet-loss-10pct-async-limited,fault,10,528.40,100.00,0.00,3.75,212.51,329.93,0.00,0.60,0.53
packet-loss-10pct-async-limited,overall,10,799.10,100.00,0.00,3.66,189.87,195.44,0.00,0.60,0.53
packet-loss-1pct-async-limited,after,10,113.20,100.00,0.00,3.24,4.96,6.01,0.00,0.39,0.39
packet-loss-1pct-async-limited,baseline,10,167.90,100.00,0.00,3.06,4.90,6.36,0.00,0.39,0.39
packet-loss-1pct-async-limited,fault,10,457.90,100.00,0.00,3.08,5.06,158.92,0.00,0.39,0.39
packet-loss-1pct-async-limited,overall,10,739.00,100.00,0.00,3.11,4.97,27.84,0.00,0.39,0.39
packet-loss-50pct-async-limited,after,10,90.00,100.00,0.00,3.41,5.29,6.92,0.00,0.56,0.50
packet-loss-50pct-async-limited,baseline,10,167.60,100.00,0.00,3.03,4.96,6.76,0.00,0.56,0.50
packet-loss-50pct-async-limited,fault,10,400.90,99.89,0.11,210.21,3433.94,170117.38,0.67,0.56,0.50
packet-loss-50pct-async-limited,overall,10,658.50,99.94,0.06,4.56,1315.52,7181.06,0.60,0.56,0.50
packet-loss-70pct-router-cleanup,after,10,85.70,100.00,0.00,2.94,4.84,6.19,0.00,6.57,0.19
packet-loss-70pct-router-cleanup,baseline,10,179.10,100.00,0.00,3.16,4.94,6.35,0.00,6.57,0.19
packet-loss-70pct-router-cleanup,fault,10,307.50,95.81,4.19,628.79,180058.62,1091090.79,12.60,6.57,0.19
packet-loss-70pct-router-cleanup,overall,10,572.30,97.77,2.23,26.82,22631.51,997489.83,12.60,6.57,0.19
