scenario,run,phase,requests_total,success,failed,success_rate,error_rate,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,timeouts,recovery_latency_s
latency-1s-short,run-01-router,overall,466,466,0,100.00%,0.00%,465.27,6.03,2009.99,2011.21,1.51,2012.92,,11.410732
latency-1s-short,run-01-router,baseline,179,179,0,100.00%,0.00%,5.08,4.41,8.87,10.58,1.70,11.16,,11.410732
latency-1s-short,run-01-router,fault,105,105,0,100.00%,0.00%,1989.14,2008.24,2011.05,2012.43,4.00,2012.92,,11.410732
latency-1s-short,run-01-router,after,182,182,0,100.00%,0.00%,38.72,5.63,9.81,2008.04,1.51,2008.58,,11.410732
latency-1s-short,run-02-router,overall,466,466,0,100.00%,0.00%,4638.12,7.41,2011.53,2015.94,1.68,996115.97,,11.627282
latency-1s-short,run-02-router,baseline,179,179,0,100.00%,0.00%,5.81,5.20,9.71,11.12,1.80,11.70,,11.627282
latency-1s-short,run-02-router,fault,105,105,0,100.00%,0.00%,20505.25,2009.53,2014.33,951944.81,2.37,996115.97,,11.627282
latency-1s-short,run-02-router,after,182,182,0,100.00%,0.00%,39.97,6.63,12.56,2009.98,1.68,2012.14,,11.627282
latency-1s-short,run-03-router,overall,466,466,0,100.00%,0.00%,466.01,6.54,2011.05,2013.95,1.81,2018.28,,10.928955
latency-1s-short,run-03-router,baseline,179,179,0,100.00%,0.00%,5.84,4.89,11.02,20.86,1.81,22.79,,10.928955
latency-1s-short,run-03-router,fault,105,105,0,100.00%,0.00%,1989.84,2008.43,2013.01,2014.70,2.71,2018.28,,10.928955
latency-1s-short,run-03-router,after,182,182,0,100.00%,0.00%,39.47,5.66,12.64,2006.68,1.95,2009.52,,10.928955
latency-1s-short,run-04-router,overall,466,466,0,100.00%,0.00%,465.73,6.70,2009.43,2012.41,1.73,2013.76,,11.447834
latency-1s-short,run-04-router,baseline,179,179,0,100.00%,0.00%,5.75,4.85,11.15,16.00,2.02,21.31,,11.447834
latency-1s-short,run-04-router,fault,105,105,0,100.00%,0.00%,1988.73,2007.38,2012.01,2013.56,2.97,2013.76,,11.447834
latency-1s-short,run-04-router,after,182,182,0,100.00%,0.00%,39.47,6.13,12.42,2005.96,1.73,2008.08,,11.447834
latency-1s-short,run-05-router,overall,466,466,0,100.00%,0.00%,465.81,6.26,2011.67,2013.90,1.70,2021.03,,11.524688
latency-1s-short,run-05-router,baseline,179,179,0,100.00%,0.00%,4.55,3.96,8.15,9.76,1.70,10.04,,11.524688
latency-1s-short,run-05-router,fault,105,105,0,100.00%,0.00%,1990.85,2009.76,2012.68,2019.36,7.96,2021.03,,11.524688
latency-1s-short,run-05-router,after,182,182,0,100.00%,0.00%,39.63,6.19,12.92,2006.24,1.76,2013.90,,11.524688
latency-1s-short,run-06-router,overall,466,466,0,100.00%,0.00%,465.94,6.54,2009.57,2011.88,1.62,2070.59,,11.74477
latency-1s-short,run-06-router,baseline,179,179,0,100.00%,0.00%,6.31,4.86,8.80,12.36,1.62,186.73,,11.74477
latency-1s-short,run-06-router,fault,105,105,0,100.00%,0.00%,1989.45,2007.88,2011.87,2013.29,2.25,2070.59,,11.74477
latency-1s-short,run-06-router,after,182,182,0,100.00%,0.00%,39.05,6.13,10.07,2008.58,1.90,2009.72,,11.74477
latency-1s-short,run-07-router,overall,466,466,0,100.00%,0.00%,466.03,6.94,2011.03,2014.12,1.99,2016.95,,11.377255
latency-1s-short,run-07-router,baseline,179,179,0,100.00%,0.00%,5.31,4.30,9.57,12.08,1.99,19.35,,11.377255
latency-1s-short,run-07-router,fault,105,105,0,100.00%,0.00%,1990.07,2009.05,2013.59,2015.52,2.75,2016.95,,11.377255
latency-1s-short,run-07-router,after,182,182,0,100.00%,0.00%,39.90,6.62,12.42,2008.38,2.19,2015.14,,11.377255
latency-1s-short,run-08-router,overall,465,465,0,100.00%,0.00%,906.74,7.00,2010.98,2026.13,1.58,140466.98,,12.007826
latency-1s-short,run-08-router,baseline,179,179,0,100.00%,0.00%,6.23,6.26,11.24,13.20,1.58,13.45,,12.007826
latency-1s-short,run-08-router,fault,104,104,0,100.00%,0.00%,3965.56,2008.66,2016.69,45801.67,2002.74,140466.98,,12.007826
latency-1s-short,run-08-router,after,182,182,0,100.00%,0.00%,44.50,5.01,11.43,2006.30,1.97,2011.44,,12.007826
