NAMESPACE     NAME                                      READY   STATUS      RESTARTS             AGE     IP           NODE     NOMINATED NODE   READINESS GATES
kube-system   coredns-8db54c48d-ttklw                   1/1     Running     0                    20h     10.42.0.6    k3s-s1   <none>           <none>
kube-system   helm-install-traefik-95xnt                0/1     Completed   1                    20h     10.42.0.2    k3s-s1   <none>           <none>
kube-system   helm-install-traefik-crd-q4nph            0/1     Completed   0                    20h     10.42.0.3    k3s-s1   <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-n44cf   1/1     Running     0                    20h     10.42.0.5    k3s-s1   <none>           <none>
kube-system   metrics-server-786d997795-vq8kx           1/1     Running     0                    20h     10.42.0.4    k3s-s1   <none>           <none>
kube-system   svclb-traefik-81700cf5-d7tm7              2/2     Running     10 (<invalid> ago)   20h     10.42.1.13   k3s-s2   <none>           <none>
kube-system   svclb-traefik-81700cf5-dgcdr              2/2     Running     0                    20h     10.42.0.7    k3s-s1   <none>           <none>
kube-system   svclb-traefik-81700cf5-hpwrg              2/2     Running     8 (<invalid> ago)    20h     10.42.2.16   k3s-s3   <none>           <none>
kube-system   svclb-traefik-81700cf5-hxppm              2/2     Running     14 (97m ago)         20h     10.42.3.14   k3s-w1   <none>           <none>
kube-system   svclb-traefik-81700cf5-k9nm5              2/2     Running     10 (93m ago)         20h     10.42.4.14   k3s-w2   <none>           <none>
kube-system   traefik-9bcdbbd9-gfpv5                    1/1     Running     0                    20h     10.42.0.8    k3s-s1   <none>           <none>
testapp       nginx-test-f8f6dcbc6-clpvx                1/1     Running     0                    3h1m    10.42.3.15   k3s-w1   <none>           <none>
testapp       nginx-test-f8f6dcbc6-fzzvm                1/1     Running     0                    14m     10.42.1.14   k3s-s2   <none>           <none>
testapp       nginx-test-f8f6dcbc6-vlpfn                1/1     Running     5 (93m ago)          4h57m   10.42.4.15   k3s-w2   <none>           <none>
