NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
kube-system   19h         Warning   NodeNotReady                   pod/svclb-traefik-405c6267-kxgqx   Node is not ready
default       19h         Normal    NodeNotReady                   node/k3s-w2                        Node k3s-w2 status is now: NodeNotReady
kube-system   17h         Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   19h         Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132]
kube-system   19h         Normal    TaintManagerEviction           pod/traefik-5878496467-rxrq9       Cancelling deletion of Pod kube-system/traefik-5878496467-rxrq9
testapp       19h         Warning   NodeNotReady                   pod/nginx-test-54db47f9bb-wndrd    Node is not ready
testapp       19h         Normal    TaintManagerEviction           pod/nginx-test-54db47f9bb-wndrd    Cancelling deletion of Pod testapp/nginx-test-54db47f9bb-wndrd
default       17h         Normal    CertificateExpirationOK        node/k3s-w2                        Node and Certificate Authority certificates managed by k3s are OK
default       17h         Normal    Starting                       node/k3s-w2                        
default       19h         Normal    NodeHasNoDiskPressure          node/k3s-w2                        Node k3s-w2 status is now: NodeHasNoDiskPressure
default       17h         Normal    NodeAllocatableEnforced        node/k3s-w2                        Updated Node Allocatable limit across pods
default       19h         Normal    NodeHasSufficientPID           node/k3s-w2                        Node k3s-w2 status is now: NodeHasSufficientPID
default       19h         Normal    NodeReady                      node/k3s-w2                        Node k3s-w2 status is now: NodeReady
default       19h         Normal    NodeHasSufficientMemory        node/k3s-w2                        Node k3s-w2 status is now: NodeHasSufficientMemory
default       17h         Warning   Rebooted                       node/k3s-w2                        Node k3s-w2 has been rebooted, boot id: 83b264a7-ed4a-4c50-9a24-9938675877cb
default       17h         Normal    Starting                       node/k3s-w2                        Starting kubelet.
kube-system   17h         Normal    SandboxChanged                 pod/svclb-traefik-405c6267-kxgqx   Pod sandbox changed, it will be killed and re-created.
kube-system   17h         Normal    Started                        pod/svclb-traefik-405c6267-kxgqx   Container started
