NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
kube-system   17h         Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   19h         Normal    TaintManagerEviction           pod/traefik-5878496467-rxrq9       Cancelling deletion of Pod kube-system/traefik-5878496467-rxrq9
testapp       19h         Normal    TaintManagerEviction           pod/nginx-test-54db47f9bb-wndrd    Cancelling deletion of Pod testapp/nginx-test-54db47f9bb-wndrd
default       19h         Normal    NodeHasSufficientPID           node/k3s-w2                        Node k3s-w2 status is now: NodeHasSufficientPID
default       19h         Normal    NodeReady                      node/k3s-w2                        Node k3s-w2 status is now: NodeReady
default       19h         Normal    NodeHasNoDiskPressure          node/k3s-w2                        Node k3s-w2 status is now: NodeHasNoDiskPressure
default       19h         Normal    NodeHasSufficientMemory        node/k3s-w2                        Node k3s-w2 status is now: NodeHasSufficientMemory
testapp       8m50s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 0 to 1
testapp       8m50s       Normal    Scheduled                      pod/nginx-test-7976d45f7d-jx5bm    Successfully assigned testapp/nginx-test-7976d45f7d-jx5bm to k3s-s1
testapp       8m50s       Warning   ReplicaSetCreateError          deployment/nginx-test              Failed to create new replica set "nginx-test-7976d45f7d": Unauthorized
testapp       8m50s       Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-jx5bm
testapp       8m50s       Warning   FailedCreate                   replicaset/nginx-test-7976d45f7d   Error creating: Unauthorized
testapp       8m50s       Normal    Started                        pod/nginx-test-7976d45f7d-jx5bm    Container started
testapp       8m50s       Normal    Created                        pod/nginx-test-7976d45f7d-jx5bm    Container created
testapp       8m50s       Normal    Pulled                         pod/nginx-test-7976d45f7d-jx5bm    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       8m49s       Warning   FailedToUpdateEndpointSlices   service/nginx-service              Error updating Endpoint Slices for Service testapp/nginx-service: failed to update nginx-service-frpd6 EndpointSlice for Service testapp/nginx-service: Unauthorized
testapp       8m49s       Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-wndrd
testapp       8m49s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 1 to 2
testapp       8m48s       Normal    Scheduled                      pod/nginx-test-7976d45f7d-82g9t    Successfully assigned testapp/nginx-test-7976d45f7d-82g9t to k3s-s2
testapp       8m49s       Normal    Pulled                         pod/nginx-test-7976d45f7d-82g9t    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       8m49s       Normal    Created                        pod/nginx-test-7976d45f7d-82g9t    Container created
testapp       8m49s       Normal    Started                        pod/nginx-test-7976d45f7d-82g9t    Container started
testapp       8m49s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 3 to 2
testapp       8m49s       Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-82g9t
testapp       8m49s       Warning   FailedToUpdateEndpoint         endpoints/nginx-service            Failed to update endpoint testapp/nginx-service: Unauthorized
testapp       8m49s       Normal    Killing                        pod/nginx-test-54db47f9bb-wndrd    Stopping container nginx
testapp       8m48s       Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-jvhkm
testapp       8m47s       Normal    Scheduled                      pod/nginx-test-7976d45f7d-jvhkm    Successfully assigned testapp/nginx-test-7976d45f7d-jvhkm to k3s-w2
testapp       8m48s       Normal    Created                        pod/nginx-test-7976d45f7d-jvhkm    Container created
testapp       8m48s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 2 to 3
testapp       8m48s       Normal    Killing                        pod/nginx-test-54db47f9bb-4hv7l    Stopping container nginx
testapp       8m48s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 2 to 1
testapp       8m48s       Normal    Pulled                         pod/nginx-test-7976d45f7d-jvhkm    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       8m48s       Normal    Started                        pod/nginx-test-7976d45f7d-jvhkm    Container started
testapp       8m48s       Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-4hv7l
testapp       8m47s       Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-szr5w
testapp       8m47s       Normal    Killing                        pod/nginx-test-54db47f9bb-szr5w    Stopping container nginx
testapp       8m47s       Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 1 to 0
kube-system   4m55s       Normal    UpdatedLoadBalancer            service/traefik                    Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   4m55s       Warning   NodeNotReady                   pod/svclb-traefik-405c6267-qjd7p   Node is not ready
testapp       4m55s       Warning   NodeNotReady                   pod/nginx-test-7976d45f7d-82g9t    Node is not ready
default       4m55s       Normal    NodeNotReady                   node/k3s-s2                        Node k3s-s2 status is now: NodeNotReady
