NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                             MESSAGE
kube-system   8m16s       Normal    UpdatedLoadBalancer       service/traefik                    Updated LoadBalancer with new IPs: [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.130] -> [10.10.10.129 10.10.10.130 10.10.10.131 10.10.20.129 10.10.20.130]
testapp       59m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-hxc4p     Stopping container nginx
testapp       59m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-c89t4     Successfully assigned testapp/nginx-test-f8f6dcbc6-c89t4 to k3s-w1
testapp       59m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-c89t4
testapp       59m         Normal    Created                   pod/nginx-test-f8f6dcbc6-c89t4     Container created
testapp       59m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-c89t4     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       59m         Normal    Started                   pod/nginx-test-f8f6dcbc6-c89t4     Container started
testapp       57m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-c89t4     Stopping container nginx
testapp       57m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-9tlg8
testapp       57m         Normal    Started                   pod/nginx-test-f8f6dcbc6-9tlg8     Container started
testapp       57m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-9tlg8     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       57m         Normal    Created                   pod/nginx-test-f8f6dcbc6-9tlg8     Container created
testapp       57m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-9tlg8     Successfully assigned testapp/nginx-test-f8f6dcbc6-9tlg8 to k3s-s3
testapp       55m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-v2tm8
testapp       55m         Normal    Started                   pod/nginx-test-f8f6dcbc6-v2tm8     Container started
testapp       55m         Normal    Created                   pod/nginx-test-f8f6dcbc6-v2tm8     Container created
testapp       55m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-v2tm8     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       55m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-v2tm8     Successfully assigned testapp/nginx-test-f8f6dcbc6-v2tm8 to k3s-w1
testapp       55m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-9tlg8     Stopping container nginx
testapp       54m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-qgfvn     Stopping container nginx
testapp       54m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-qgcsq
testapp       54m         Normal    Started                   pod/nginx-test-f8f6dcbc6-qgcsq     Container started
testapp       54m         Normal    Created                   pod/nginx-test-f8f6dcbc6-qgcsq     Container created
testapp       54m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-qgcsq     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       54m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-qgcsq     Successfully assigned testapp/nginx-test-f8f6dcbc6-qgcsq to k3s-s3
testapp       52m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-qgcsq     Stopping container nginx
testapp       52m         Normal    Started                   pod/nginx-test-f8f6dcbc6-lts55     Container started
testapp       52m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-lts55
testapp       52m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-lts55     Successfully assigned testapp/nginx-test-f8f6dcbc6-lts55 to k3s-w2
testapp       52m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-lts55     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       52m         Normal    Created                   pod/nginx-test-f8f6dcbc6-lts55     Container created
testapp       50m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-nfjp6     Successfully assigned testapp/nginx-test-f8f6dcbc6-nfjp6 to k3s-s3
testapp       50m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-lts55     Stopping container nginx
testapp       50m         Normal    Started                   pod/nginx-test-f8f6dcbc6-nfjp6     Container started
testapp       50m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-nfjp6     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       50m         Normal    Created                   pod/nginx-test-f8f6dcbc6-nfjp6     Container created
testapp       50m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-nfjp6
testapp       48m         Normal    Killing                   pod/nginx-test-f8f6dcbc6-nfjp6     Stopping container nginx
testapp       48m         Normal    Scheduled                 pod/nginx-test-f8f6dcbc6-vlpfn     Successfully assigned testapp/nginx-test-f8f6dcbc6-vlpfn to k3s-w2
testapp       48m         Normal    SuccessfulCreate          replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-vlpfn
testapp       48m         Normal    Pulled                    pod/nginx-test-f8f6dcbc6-vlpfn     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       48m         Normal    Created                   pod/nginx-test-f8f6dcbc6-vlpfn     Container created
testapp       48m         Normal    Started                   pod/nginx-test-f8f6dcbc6-vlpfn     Container started
