NAMESPACE   LAST SEEN   TYPE     REASON             OBJECT                             MESSAGE
testapp     59m         Normal   Scheduled          pod/nginx-test-54db47f9bb-d9xnl    Successfully assigned testapp/nginx-test-54db47f9bb-d9xnl to k3s-s1
testapp     59m         Normal   Killing            pod/nginx-test-54db47f9bb-zzmbf    Stopping container nginx
testapp     59m         Normal   SuccessfulCreate   replicaset/nginx-test-54db47f9bb   Created pod: nginx-test-54db47f9bb-d9xnl
testapp     59m         Normal   Pulled             pod/nginx-test-54db47f9bb-d9xnl    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp     59m         Normal   Created            pod/nginx-test-54db47f9bb-d9xnl    Container created
testapp     59m         Normal   Started            pod/nginx-test-54db47f9bb-d9xnl    Container started
testapp     56m         Normal   SuccessfulCreate   replicaset/nginx-test-54db47f9bb   Created pod: nginx-test-54db47f9bb-z4kvn
testapp     56m         Normal   Started            pod/nginx-test-54db47f9bb-z4kvn    Container started
testapp     56m         Normal   Killing            pod/nginx-test-54db47f9bb-fkzpk    Stopping container nginx
testapp     56m         Normal   Scheduled          pod/nginx-test-54db47f9bb-z4kvn    Successfully assigned testapp/nginx-test-54db47f9bb-z4kvn to k3s-w2
testapp     56m         Normal   Pulled             pod/nginx-test-54db47f9bb-z4kvn    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp     56m         Normal   Created            pod/nginx-test-54db47f9bb-z4kvn    Container created
testapp     52m         Normal   Killing            pod/nginx-test-54db47f9bb-dqjkd    Stopping container nginx
testapp     52m         Normal   Scheduled          pod/nginx-test-54db47f9bb-k79vg    Successfully assigned testapp/nginx-test-54db47f9bb-k79vg to k3s-s3
testapp     52m         Normal   SuccessfulCreate   replicaset/nginx-test-54db47f9bb   Created pod: nginx-test-54db47f9bb-k79vg
testapp     52m         Normal   Pulled             pod/nginx-test-54db47f9bb-k79vg    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp     52m         Normal   Created            pod/nginx-test-54db47f9bb-k79vg    Container created
testapp     52m         Normal   Started            pod/nginx-test-54db47f9bb-k79vg    Container started
testapp     48m         Normal   Started            pod/nginx-test-54db47f9bb-hqknx    Container started
