NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                               MESSAGE
testapp       60m         Normal    Killing                   pod/nginx-test-54db47f9bb-dqjkd      Stopping container nginx
testapp       60m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     Created pod: nginx-test-54db47f9bb-k79vg
testapp       60m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-k79vg      Successfully assigned testapp/nginx-test-54db47f9bb-k79vg to k3s-s3
testapp       60m         Normal    Pulled                    pod/nginx-test-54db47f9bb-k79vg      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       60m         Normal    Created                   pod/nginx-test-54db47f9bb-k79vg      Container created
testapp       60m         Normal    Started                   pod/nginx-test-54db47f9bb-k79vg      Container started
testapp       56m         Normal    Killing                   pod/nginx-test-54db47f9bb-k79vg      Stopping container nginx
testapp       56m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-hqknx      Successfully assigned testapp/nginx-test-54db47f9bb-hqknx to k3s-s2
testapp       56m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     Created pod: nginx-test-54db47f9bb-hqknx
testapp       56m         Normal    Pulled                    pod/nginx-test-54db47f9bb-hqknx      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       56m         Normal    Created                   pod/nginx-test-54db47f9bb-hqknx      Container created
testapp       56m         Normal    Started                   pod/nginx-test-54db47f9bb-hqknx      Container started
testapp       54m         Normal    Started                   pod/nginx-test-54db47f9bb-m8ksb      Container started
testapp       54m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-m8ksb      Successfully assigned testapp/nginx-test-54db47f9bb-m8ksb to k3s-s3
testapp       54m         Normal    Pulled                    pod/nginx-test-54db47f9bb-m8ksb      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       54m         Normal    Created                   pod/nginx-test-54db47f9bb-m8ksb      Container created
testapp       54m         Normal    Killing                   pod/nginx-test-54db47f9bb-z4kvn      Stopping container nginx
testapp       54m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     Created pod: nginx-test-54db47f9bb-m8ksb
testapp       52m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-m2gdp      Successfully assigned testapp/nginx-test-54db47f9bb-m2gdp to k3s-w2
testapp       52m         Normal    Pulled                    pod/nginx-test-54db47f9bb-m2gdp      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       52m         Normal    Created                   pod/nginx-test-54db47f9bb-m2gdp      Container created
testapp       52m         Normal    Started                   pod/nginx-test-54db47f9bb-m2gdp      Container started
testapp       52m         Normal    Killing                   pod/nginx-test-54db47f9bb-d9xnl      Stopping container nginx
testapp       52m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     Created pod: nginx-test-54db47f9bb-m2gdp
testapp       49m         Normal    Started                   pod/nginx-test-54db47f9bb-kpwrt      Container started
testapp       49m         Normal    Pulled                    pod/nginx-test-54db47f9bb-kpwrt      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       40m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     (combined from similar events): Created pod: nginx-test-54db47f9bb-pdhgn
testapp       49m         Normal    Killing                   pod/nginx-test-54db47f9bb-m2gdp      Stopping container nginx
testapp       49m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-kpwrt      Successfully assigned testapp/nginx-test-54db47f9bb-kpwrt to k3s-s1
testapp       49m         Normal    Created                   pod/nginx-test-54db47f9bb-kpwrt      Container created
testapp       46m         Normal    Created                   pod/nginx-test-54db47f9bb-jnrwm      Container created
testapp       46m         Normal    Started                   pod/nginx-test-54db47f9bb-jnrwm      Container started
testapp       46m         Normal    Killing                   pod/nginx-test-54db47f9bb-m8ksb      Stopping container nginx
testapp       46m         Normal    Pulled                    pod/nginx-test-54db47f9bb-jnrwm      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       46m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-jnrwm      Successfully assigned testapp/nginx-test-54db47f9bb-jnrwm to k3s-w2
