NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                               MESSAGE
testapp       60m         Normal    Pulled                    pod/nginx-test-54db47f9bb-m2gdp      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       60m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     Created pod: nginx-test-54db47f9bb-m2gdp
testapp       60m         Normal    Created                   pod/nginx-test-54db47f9bb-m2gdp      Container created
testapp       60m         Normal    Started                   pod/nginx-test-54db47f9bb-m2gdp      Container started
testapp       60m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-m2gdp      Successfully assigned testapp/nginx-test-54db47f9bb-m2gdp to k3s-w2
testapp       60m         Normal    Killing                   pod/nginx-test-54db47f9bb-d9xnl      Stopping container nginx
testapp       58m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-kpwrt      Successfully assigned testapp/nginx-test-54db47f9bb-kpwrt to k3s-s1
testapp       58m         Normal    Pulled                    pod/nginx-test-54db47f9bb-kpwrt      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       58m         Normal    Started                   pod/nginx-test-54db47f9bb-kpwrt      Container started
testapp       58m         Normal    Created                   pod/nginx-test-54db47f9bb-kpwrt      Container created
testapp       49m         Normal    SuccessfulCreate          replicaset/nginx-test-54db47f9bb     (combined from similar events): Created pod: nginx-test-54db47f9bb-pdhgn
testapp       58m         Normal    Killing                   pod/nginx-test-54db47f9bb-m2gdp      Stopping container nginx
testapp       55m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-jnrwm      Successfully assigned testapp/nginx-test-54db47f9bb-jnrwm to k3s-w2
testapp       55m         Normal    Started                   pod/nginx-test-54db47f9bb-jnrwm      Container started
testapp       55m         Normal    Created                   pod/nginx-test-54db47f9bb-jnrwm      Container created
testapp       55m         Normal    Killing                   pod/nginx-test-54db47f9bb-m8ksb      Stopping container nginx
testapp       55m         Normal    Pulled                    pod/nginx-test-54db47f9bb-jnrwm      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       52m         Normal    Killing                   pod/nginx-test-54db47f9bb-hqknx      Stopping container nginx
testapp       52m         Normal    Started                   pod/nginx-test-54db47f9bb-4xzff      Container started
testapp       52m         Normal    Pulled                    pod/nginx-test-54db47f9bb-4xzff      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       52m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-4xzff      Successfully assigned testapp/nginx-test-54db47f9bb-4xzff to k3s-s3
testapp       52m         Normal    Created                   pod/nginx-test-54db47f9bb-4xzff      Container created
testapp       49m         Normal    Killing                   pod/nginx-test-54db47f9bb-kpwrt      Stopping container nginx
testapp       49m         Normal    Started                   pod/nginx-test-54db47f9bb-pdhgn      Container started
testapp       49m         Normal    Pulled                    pod/nginx-test-54db47f9bb-pdhgn      Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       49m         Normal    Scheduled                 pod/nginx-test-54db47f9bb-pdhgn      Successfully assigned testapp/nginx-test-54db47f9bb-pdhgn to k3s-s2
testapp       49m         Normal    Created                   pod/nginx-test-54db47f9bb-pdhgn      Container created
kube-system   14m         Warning   NodeNotReady              pod/metrics-server-fdb7f6596-dzkgl   Node is not ready
kube-system   14m         Normal    UpdatedLoadBalancer       service/traefik                      Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.133]
kube-system   14m         Warning   NodeNotReady              pod/coredns-5f779c8467-qjnnf         Node is not ready
default       14m         Normal    NodeNotReady              node/k3s-w1                          Node k3s-w1 status is now: NodeNotReady
