Run,Störung,Ziel,Req.,OK,Fail,Succ. [%],Err. [%],Rec. [s],Stab. [s],Pod-Rest.,NodeNotReady,NotReady [s],Final Ready,gültig
run-01,Pod-Ausfall,k3s-s3,92,92,0,100,0,1,2,0,0,0,ja,ja
run-02,Pod-Ausfall,k3s-w1,94,94,0,100,0,2,2,0,0,0,ja,ja
run-03,Pod-Ausfall,k3s-s3,92,92,0,100,0,1,1,0,0,0,ja,ja
run-04,Pod-Ausfall,k3s-w2,93,93,0,100,0,1,1,0,0,0,ja,ja
run-05,Pod-Ausfall,k3s-s3,92,92,0,100,0,1,1,0,0,0,ja,ja
run-06,Pod-Ausfall,k3s-w2,93,93,0,100,0,1,2,0,0,0,ja,ja
run-07,Pod-Ausfall,k3s-s3,92,92,0,100,0,1,2,0,0,0,ja,ja
run-08,Pod-Ausfall,k3s-w1,92,92,0,100,0,1,2,0,0,0,ja,ja
run-09,Pod-Ausfall,k3s-s3,93,93,0,100,0,2,3,0,0,0,ja,ja
run-10,Pod-Ausfall,k3s-w1,94,94,0,100,0,2,3,0,0,0,ja,ja
