NAMESPACE     LAST SEEN   TYPE      REASON                OBJECT                                                          MESSAGE
kube-system   60m         Normal    ScalingReplicaSet     deployment/coredns                                              Scaled up replica set coredns-5f779c8467 from 0 to 1
kube-system   60m         Normal    Scheduled             pod/metrics-server-fdb7f6596-4q8vt                              Successfully assigned kube-system/metrics-server-fdb7f6596-4q8vt to k3s-s3
kube-system   60m         Normal    ScalingReplicaSet     deployment/traefik                                              Scaled up replica set traefik-5878496467 from 0 to 1
kube-system   60m         Normal    Scheduled             pod/coredns-5f779c8467-pt87b                                    Successfully assigned kube-system/coredns-5f779c8467-pt87b to k3s-s3
kube-system   60m         Normal    Scheduled             pod/traefik-5878496467-rxrq9                                    Successfully assigned kube-system/traefik-5878496467-rxrq9 to k3s-w2
monitoring    60m         Normal    Scheduled             pod/monitoring-kube-prometheus-operator-7bfb6fff69-hvhbl        Successfully assigned monitoring/monitoring-kube-prometheus-operator-7bfb6fff69-hvhbl to k3s-w2
kube-system   60m         Normal    Pulling               pod/coredns-5f779c8467-pt87b                                    Pulling image "rancher/mirrored-coredns-coredns:1.14.3"
monitoring    60m         Normal    Scheduled             pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Successfully assigned monitoring/monitoring-grafana-5ff5b8b6b7-m99sh to k3s-w2
kube-system   60m         Normal    Pulling               pod/traefik-5878496467-rxrq9                                    Pulling image "rancher/mirrored-library-traefik:3.6.13"
kube-system   60m         Normal    ScalingReplicaSet     deployment/metrics-server                                       Scaled up replica set metrics-server-fdb7f6596 from 0 to 1
kube-system   60m         Normal    SuccessfulCreate      replicaset/metrics-server-fdb7f6596                             Created pod: metrics-server-fdb7f6596-4q8vt
kube-system   60m         Normal    Pulling               pod/metrics-server-fdb7f6596-4q8vt                              Pulling image "rancher/mirrored-metrics-server:v0.8.1"
monitoring    60m         Normal    Created               pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Container created
monitoring    60m         Normal    Pulled                pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Container image "quay.io/kiwigrid/k8s-sidecar:2.7.3" already present on machine and can be accessed by the pod
monitoring    60m         Normal    Pulled                pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Container image "docker.io/grafana/grafana:13.0.1-security-01" already present on machine and can be accessed by the pod
monitoring    60m         Normal    Created               pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Container created
monitoring    60m         Normal    Started               pod/monitoring-grafana-5ff5b8b6b7-m99sh                         Container started
