NAMESPACE     NAME                                      READY   STATUS      RESTARTS      AGE   IP              NODE   NOMINATED NODE   READINESS GATES
kube-system   coredns-8db54c48d-7v8ss                   1/1     Running     1 (24h ago)   27h   10.42.0.10      c1     <none>           <none>
kube-system   helm-install-traefik-crd-25k64            0/1     Completed   0             27h   <none>          c1     <none>           <none>
kube-system   helm-install-traefik-qpplw                0/1     Completed   2             27h   <none>          c1     <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-w6fh6   1/1     Running     1 (24h ago)   27h   10.42.0.11      c1     <none>           <none>
kube-system   metrics-server-786d997795-4t8gj           1/1     Running     1 (24h ago)   27h   10.42.0.9       c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-8zxqj              2/2     Running     0             22h   10.42.1.4       c2     <none>           <none>
kube-system   svclb-traefik-7ab09d61-bp9cn              2/2     Running     0             22h   10.42.0.15      c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-x5cmh              2/2     Running     0             22h   10.42.3.4       c3     <none>           <none>
kube-system   traefik-9bcdbbd9-m82d7                    1/1     Running     1 (24h ago)   27h   10.42.0.12      c1     <none>           <none>
kubeedge      cloud-iptables-manager-frq8w              1/1     Running     0             23h   10.10.10.133    c1     <none>           <none>
kubeedge      cloud-iptables-manager-klf4n              1/1     Running     0             23h   10.10.10.135    c3     <none>           <none>
kubeedge      cloud-iptables-manager-q5lgx              1/1     Running     0             23h   10.10.10.134    c2     <none>           <none>
kubeedge      cloudcore-646c88d4fc-5rm6w                1/1     Running     0             23h   10.10.10.134    c2     <none>           <none>
kubeedge      cloudcore-646c88d4fc-9n695                1/1     Running     0             23h   10.10.10.135    c3     <none>           <none>
kubeedge      cloudcore-646c88d4fc-kvpsp                1/1     Running     0             23h   10.10.10.133    c1     <none>           <none>
kubeedge      edge-eclipse-mosquitto-7l5gz              1/1     Running     0             22h   172.16.41.147   e2     <none>           <none>
kubeedge      edge-eclipse-mosquitto-szthb              1/1     Running     0             22h   10.10.20.131    e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-jrklm            1/1     Running     0             22h   10.88.2.2       e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-m99qh            1/1     Running     0             22h   10.88.1.2       e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-rl42k            1/1     Running     0             22h   10.88.1.3       e1     <none>           <none>
