NAMESPACE   LAST SEEN   TYPE      REASON                 OBJECT                               MESSAGE
default     22m         Normal    NodeNotReady           node/e1                              Node e1 status is now: NodeNotReady
kubeedge    22m         Warning   NodeNotReady           pod/edge-eclipse-mosquitto-szthb     Node is not ready
kubeedge    22m         Warning   NodeNotReady           pod/edgemesh-agent-x8vtd             Node is not ready
testapp     22m         Warning   NodeNotReady           pod/nginx-testapp-5c8f4cb9d7-2hs8b   Node is not ready
testapp     17m         Normal    TaintManagerEviction   pod/nginx-testapp-5c8f4cb9d7-2hs8b   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-2hs8b
default     9m17s       Normal    NodeNotReady           node/e2                              Node e2 status is now: NodeNotReady
kubeedge    9m16s       Warning   NodeNotReady           pod/edge-eclipse-mosquitto-7l5gz     Node is not ready
kubeedge    9m17s       Warning   NodeNotReady           pod/edgemesh-agent-wmrc8             Node is not ready
testapp     9m16s       Warning   NodeNotReady           pod/nginx-testapp-5c8f4cb9d7-v6974   Node is not ready
testapp     9m16s       Warning   NodeNotReady           pod/nginx-testapp-5c8f4cb9d7-w99cg   Node is not ready
testapp     4m41s       Normal    TaintManagerEviction   pod/nginx-testapp-5c8f4cb9d7-v6974   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-v6974
testapp     4m41s       Normal    TaintManagerEviction   pod/nginx-testapp-5c8f4cb9d7-w99cg   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-w99cg
