run,deleted_pod,deleted_pod_node,recovered,recovery_seconds,total_requests,ok_requests,failed_requests,success_rate_percent,error_rate_percent,median_ms,p95_ms,max_ms,status_codes,pod_restarts_before,pod_restarts_after,node_status_before,node_status_after,kubeedge_components_after
run-01,nginx-testapp-5c8f4cb9d7-ljfpv,e1,true,61.0,151,151,0,100.0,0.0,4.73,14.68,17.89,200:151,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-02,nginx-testapp-5c8f4cb9d7-qmcgh,e1,true,5.0,96,96,0,100.0,0.0,6.03,13.56,78.88,200:96,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-03,nginx-testapp-5c8f4cb9d7-scf6q,e2,true,4.0,95,95,0,100.0,0.0,5.31,13.02,17.88,200:95,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-04,nginx-testapp-5c8f4cb9d7-lsc8d,e1,true,1.0,92,92,0,100.0,0.0,5.78,12.29,48.46,200:92,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-05,nginx-testapp-5c8f4cb9d7-tkw2m,e2,true,5.0,96,96,0,100.0,0.0,4.19,10.55,14.21,200:96,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-06,nginx-testapp-5c8f4cb9d7-lmdvl,e1,true,3.0,94,94,0,100.0,0.0,3.8,8.14,11.83,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-07,nginx-testapp-5c8f4cb9d7-xfj5q,e2,true,3.0,94,94,0,100.0,0.0,5.29,13.6,88.39,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-08,nginx-testapp-5c8f4cb9d7-mbp8l,e1,true,3.0,95,95,0,100.0,0.0,4.5,10.73,94.81,200:95,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-09,nginx-testapp-5c8f4cb9d7-b7lkb,e2,true,3.0,94,94,0,100.0,0.0,4.04,9.37,120.15,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-10,nginx-testapp-5c8f4cb9d7-rfvpj,e1,true,3.0,94,94,0,100.0,0.0,6.15,13.25,134.7,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
