NAME                           READY   STATUS    RESTARTS        AGE   IP             NODE   NOMINATED NODE   READINESS GATES   LABELS
cloud-iptables-manager-l7lpb   1/1     Running   6 (7d22h ago)   9d    10.10.10.135   c3     <none>           <none>            controller-revision-hash=d6cc6f796,k8s-app=iptables-manager,kubeedge=iptables-manager,pod-template-generation=2
cloud-iptables-manager-mnh8d   1/1     Running   7 (7d22h ago)   9d    10.10.10.134   c2     <none>           <none>            controller-revision-hash=d6cc6f796,k8s-app=iptables-manager,kubeedge=iptables-manager,pod-template-generation=2
cloud-iptables-manager-nw279   1/1     Running   0               9d    10.10.10.133   c1     <none>           <none>            controller-revision-hash=d6cc6f796,k8s-app=iptables-manager,kubeedge=iptables-manager,pod-template-generation=2
cloudcore-589789b9fc-4qfvm     1/1     Running   0               8d    10.10.10.135   c3     <none>           <none>            k8s-app=kubeedge,kubeedge=cloudcore,pod-template-hash=589789b9fc
cloudcore-589789b9fc-8nqmw     1/1     Running   0               8d    10.10.10.134   c2     <none>           <none>            k8s-app=kubeedge,kubeedge=cloudcore,pod-template-hash=589789b9fc
cloudcore-589789b9fc-bphz8     1/1     Running   0               14d   10.10.10.133   c1     <none>           <none>            k8s-app=kubeedge,kubeedge=cloudcore,pod-template-hash=589789b9fc
edge-eclipse-mosquitto-7l5gz   1/1     Running   6 (8d ago)      15d   10.10.20.132   e2     <none>           <none>            controller-revision-hash=7d9b665fc4,k8s-app=eclipse-mosquitto,kubeedge=eclipse-mosquitto,pod-template-generation=1
edge-eclipse-mosquitto-szthb   1/1     Running   6 (8d ago)      15d   10.10.20.131   e1     <none>           <none>            controller-revision-hash=7d9b665fc4,k8s-app=eclipse-mosquitto,kubeedge=eclipse-mosquitto,pod-template-generation=1
edgemesh-agent-l2n4z           1/1     Running   5 (8d ago)      9d    10.10.20.131   e1     <none>           <none>            controller-revision-hash=748f7d988,k8s-app=kubeedge,kubeedge=edgemesh-agent,pod-template-generation=2
edgemesh-agent-qf7pk           1/1     Running   5 (8d ago)      9d    10.10.20.132   e2     <none>           <none>            controller-revision-hash=748f7d988,k8s-app=kubeedge,kubeedge=edgemesh-agent,pod-template-generation=2
