run,role,failed_node,url,node_notready_detected,node_ready_detected,node_notready_seconds,node_recovery_seconds,vm_poweroff_to_ready_seconds,vm_restart_to_ready_seconds,total_requests,ok_requests,failed_requests,success_rate_percent,error_rate_percent,median_latency_ms,p95_latency_ms,max_latency_ms,error_types,first_failed_request_time,last_failed_request_time,pod_restart_delta,manual_prompt_reached,manual_intervention_confirmed,preflight_before_ok,preflight_after_ok,nodes_final_ready
run-01-c2,cloud,c2,http://10.10.20.131:30080/,true,true,56.0,1055.0,1049.0,920.0,1154,1154,0,100.0,0.0,2.48,7.513499999999999,143.74,,,,0,False,False,True,True,True
run-02-c3,cloud,c3,http://10.10.20.131:30080/,true,true,53.0,1290.0,1285.0,1150.0,1163,1163,0,100.0,0.0,2.53,8.876999999999969,61.67,,,,0,False,False,True,True,True
run-03-c2,cloud,c2,http://10.10.20.131:30080/,true,true,54.0,1062.0,1056.0,901.0,1155,1155,0,100.0,0.0,2.48,10.142999999999995,84.5,,,,0,False,False,True,True,True
run-04-c3,cloud,c3,http://10.10.20.131:30080/,true,true,61.0,1099.0,1092.0,921.0,1490,1490,0,100.0,0.0,2.615,10.068999999999992,145.48,,,,0,False,False,True,True,True
run-05-c2,cloud,c2,http://10.10.20.131:30080/,true,true,57.0,1055.0,1050.0,922.0,1154,1154,0,100.0,0.0,2.51,8.3135,127.48,,,,0,False,False,True,True,True
run-06-c3,cloud,c3,http://10.10.20.131:30080/,true,true,51.0,1061.0,1056.0,923.0,1161,1161,0,100.0,0.0,2.49,8.81,59.3,,,,0,False,False,True,True,True
run-07-c2,cloud,c2,http://10.10.20.131:30080/,true,true,49.0,1057.0,1052.0,921.0,1155,1155,0,100.0,0.0,2.47,7.023,63.19,,,,0,False,False,True,True,True
run-08-c3,cloud,c3,http://10.10.20.131:30080/,true,true,55.0,1055.0,1050.0,921.0,1183,1183,0,100.0,0.0,2.49,8.578999999999999,80.07,,,,0,False,False,True,True,True
run-09-c2,cloud,c2,http://10.10.20.131:30080/,true,true,47.0,1055.0,1049.0,921.0,1150,1150,0,100.0,0.0,2.49,7.4655,105.34,,,,0,False,False,True,True,True
run-10-c3,cloud,c3,http://10.10.20.131:30080/,true,true,48.0,1055.0,1051.0,920.0,1153,1153,0,100.0,0.0,2.53,8.353999999999992,130.41,,,,0,False,False,True,True,True
