NAME                           READY   STATUS        RESTARTS       AGE     IP             NODE     NOMINATED NODE   READINESS GATES
cloud-iptables-manager-l7lpb   1/1     Running       2 (145m ago)   22h     10.10.10.135   c3       <none>           <none>
cloud-iptables-manager-mnh8d   1/1     Running       3 (172m ago)   22h     10.10.10.134   c2       <none>           <none>
cloud-iptables-manager-nw279   1/1     Running       0              22h     10.10.10.133   c1       <none>           <none>
cloudcore-589789b9fc-5c7b7     1/1     Running       0              4h22m   10.10.10.135   c3       <none>           <none>
cloudcore-589789b9fc-9bt6x     1/1     Terminating   0              4h48m   10.10.10.134   c2       <none>           <none>
cloudcore-589789b9fc-bphz8     1/1     Running       0              6d17h   10.10.10.133   c1       <none>           <none>
cloudcore-589789b9fc-whsst     0/1     Pending       0              11m     <none>         <none>   <none>           <none>
edge-eclipse-mosquitto-7l5gz   1/1     Running       6 (18h ago)    7d17h   10.10.20.132   e2       <none>           <none>
edge-eclipse-mosquitto-szthb   1/1     Running       6 (18h ago)    7d17h   10.10.20.131   e1       <none>           <none>
edgemesh-agent-l2n4z           1/1     Running       5 (18h ago)    22h     10.10.20.131   e1       <none>           <none>
edgemesh-agent-qf7pk           1/1     Running       5 (18h ago)    22h     10.10.20.132   e2       <none>           <none>
