NAMESPACE     NAME                                      READY   STATUS              RESTARTS            AGE     IP             NODE   NOMINATED NODE   READINESS GATES
kube-system   coredns-8db54c48d-7v8ss                   1/1     Running             1 (7d18h ago)       7d22h   10.42.0.10     c1     <none>           <none>
kube-system   helm-install-traefik-crd-25k64            0/1     Completed           0                   7d22h   <none>         c1     <none>           <none>
kube-system   helm-install-traefik-qpplw                0/1     Completed           2                   7d22h   <none>         c1     <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-w6fh6   1/1     Running             1 (7d18h ago)       7d22h   10.42.0.11     c1     <none>           <none>
kube-system   metrics-server-786d997795-4t8gj           1/1     Running             1 (7d18h ago)       7d22h   10.42.0.9      c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-8zxqj              2/2     Running             8 (<invalid> ago)   7d17h   10.42.1.8      c2     <none>           <none>
kube-system   svclb-traefik-7ab09d61-bp9cn              2/2     Running             0                   7d17h   10.42.0.15     c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-x5cmh              0/2     Unknown             4                   7d17h   <none>         c3     <none>           <none>
kube-system   traefik-9bcdbbd9-m82d7                    1/1     Running             1 (7d18h ago)       7d22h   10.42.0.12     c1     <none>           <none>
kubeedge      cloud-iptables-manager-l7lpb              0/1     Unknown             2                   22h     10.10.10.135   c3     <none>           <none>
kubeedge      cloud-iptables-manager-mnh8d              1/1     Running             4 (<invalid> ago)   22h     10.10.10.134   c2     <none>           <none>
kubeedge      cloud-iptables-manager-nw279              1/1     Running             0                   22h     10.10.10.133   c1     <none>           <none>
kubeedge      cloudcore-589789b9fc-5c7b7                0/1     Unknown             0                   4h53m   10.10.10.135   c3     <none>           <none>
kubeedge      cloudcore-589789b9fc-9hwkp                0/1     ContainerCreating   0                   12m     10.10.10.135   c3     <none>           <none>
kubeedge      cloudcore-589789b9fc-bphz8                1/1     Running             0                   6d18h   10.10.10.133   c1     <none>           <none>
kubeedge      cloudcore-589789b9fc-whsst                1/1     Running             0                   43m     10.10.10.134   c2     <none>           <none>
kubeedge      edge-eclipse-mosquitto-7l5gz              1/1     Running             6 (19h ago)         7d17h   10.10.20.132   e2     <none>           <none>
kubeedge      edge-eclipse-mosquitto-szthb              1/1     Running             6 (19h ago)         7d17h   10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-l2n4z                      1/1     Running             5 (19h ago)         22h     10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-qf7pk                      1/1     Running             5 (19h ago)         22h     10.10.20.132   e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-dz97l            1/1     Running             6 (19h ago)         25h     10.88.2.28     e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-z9m8s            1/1     Running             6 (19h ago)         25h     10.88.2.27     e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-zd4sz            1/1     Running             6 (19h ago)         26h     10.88.1.33     e1     <none>           <none>
