NAMESPACE   LAST SEEN   TYPE      REASON                 OBJECT                               MESSAGE
default     11m         Normal    NodeNotReady           node/e2                              Node e2 status is now: NodeNotReady
testapp     11m         Warning   NodeNotReady           pod/nginx-testapp-5c8f4cb9d7-z9m8s   Node is not ready
testapp     11m         Warning   NodeNotReady           pod/nginx-testapp-5c8f4cb9d7-dz97l   Node is not ready
kubeedge    11m         Warning   NodeNotReady           pod/edge-eclipse-mosquitto-7l5gz     Node is not ready
testapp     11m         Normal    TaintManagerEviction   pod/nginx-testapp-5c8f4cb9d7-z9m8s   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-z9m8s
testapp     11m         Normal    TaintManagerEviction   pod/nginx-testapp-5c8f4cb9d7-dz97l   Cancelling deletion of Pod testapp/nginx-testapp-5c8f4cb9d7-dz97l
kubeedge    21m         Normal    SuccessfulCreate       daemonset/edgemesh-agent             Created pod: edgemesh-agent-qf7pk
kubeedge    21m         Normal    SuccessfulDelete       daemonset/edgemesh-agent             Deleted pod: edgemesh-agent-wmrc8
kubeedge    21m         Normal    Scheduled              pod/edgemesh-agent-qf7pk             Successfully assigned kubeedge/edgemesh-agent-qf7pk to e2
kubeedge    21m         Normal    SuccessfulCreate       daemonset/edgemesh-agent             Created pod: edgemesh-agent-l2n4z
kubeedge    21m         Normal    SuccessfulDelete       daemonset/edgemesh-agent             Deleted pod: edgemesh-agent-x8vtd
kubeedge    21m         Normal    Scheduled              pod/edgemesh-agent-l2n4z             Successfully assigned kubeedge/edgemesh-agent-l2n4z to e1
kubeedge    20m         Normal    SuccessfulDelete       daemonset/cloud-iptables-manager     Deleted pod: cloud-iptables-manager-frq8w
kubeedge    20m         Normal    Killing                pod/cloud-iptables-manager-frq8w     Stopping container iptables-manager
kubeedge    20m         Normal    SuccessfulCreate       daemonset/cloud-iptables-manager     Created pod: cloud-iptables-manager-nw279
kubeedge    20m         Normal    Scheduled              pod/cloud-iptables-manager-nw279     Successfully assigned kubeedge/cloud-iptables-manager-nw279 to c1
kubeedge    20m         Normal    Created                pod/cloud-iptables-manager-nw279     Container created
kubeedge    20m         Normal    Started                pod/cloud-iptables-manager-nw279     Container started
kubeedge    20m         Normal    Pulled                 pod/cloud-iptables-manager-nw279     Container image "kubeedge/iptables-manager:v1.21.0" already present on machine and can be accessed by the pod
kubeedge    20m         Normal    SuccessfulDelete       daemonset/cloud-iptables-manager     Deleted pod: cloud-iptables-manager-klf4n
kubeedge    20m         Normal    SuccessfulCreate       daemonset/cloud-iptables-manager     Created pod: cloud-iptables-manager-l7lpb
kubeedge    20m         Normal    Killing                pod/cloud-iptables-manager-klf4n     Stopping container iptables-manager
kubeedge    20m         Normal    Scheduled              pod/cloud-iptables-manager-l7lpb     Successfully assigned kubeedge/cloud-iptables-manager-l7lpb to c3
kubeedge    20m         Normal    Started                pod/cloud-iptables-manager-l7lpb     Container started
kubeedge    20m         Normal    Scheduled              pod/cloud-iptables-manager-mnh8d     Successfully assigned kubeedge/cloud-iptables-manager-mnh8d to c2
kubeedge    20m         Normal    Created                pod/cloud-iptables-manager-l7lpb     Container created
kubeedge    20m         Normal    Pulled                 pod/cloud-iptables-manager-l7lpb     Container image "kubeedge/iptables-manager:v1.21.0" already present on machine and can be accessed by the pod
kubeedge    20m         Normal    SuccessfulCreate       daemonset/cloud-iptables-manager     Created pod: cloud-iptables-manager-mnh8d
kubeedge    20m         Normal    SuccessfulDelete       daemonset/cloud-iptables-manager     Deleted pod: cloud-iptables-manager-q5lgx
kubeedge    20m         Normal    Killing                pod/cloud-iptables-manager-q5lgx     Stopping container iptables-manager
kubeedge    20m         Normal    Created                pod/cloud-iptables-manager-mnh8d     Container created
kubeedge    20m         Normal    Pulled                 pod/cloud-iptables-manager-mnh8d     Container image "kubeedge/iptables-manager:v1.21.0" already present on machine and can be accessed by the pod
kubeedge    20m         Normal    Started                pod/cloud-iptables-manager-mnh8d     Container started
kubeedge    11m         Warning   NodeNotReady           pod/edgemesh-agent-qf7pk             Node is not ready
