run,deleted_pod,deleted_pod_node,recovered,recovery_seconds,total_requests,ok_requests,failed_requests,success_rate_percent,error_rate_percent,median_ms,p95_ms,max_ms,status_codes,pod_restarts_before,pod_restarts_after,node_status_before,node_status_after,kubeedge_components_after
run-01,nginx-testapp-5c8f4cb9d7-wrb59,e2,true,5.0,96,96,0,100.0,0.0,4.96,11.54,83.9,200:96,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-02,nginx-testapp-5c8f4cb9d7-r5kx6,e1,true,3.0,94,94,0,100.0,0.0,3.9,9.93,66.35,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-03,nginx-testapp-5c8f4cb9d7-xrtv8,e2,true,5.0,95,95,0,100.0,0.0,4.07,10.54,70.13,200:95,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-04,nginx-testapp-5c8f4cb9d7-pzzl5,e1,true,3.0,93,93,0,100.0,0.0,6.12,12.79,18.29,200:93,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-05,nginx-testapp-5c8f4cb9d7-khqpw,e2,true,4.0,94,94,0,100.0,0.0,5.35,13.33,21.48,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-06,nginx-testapp-5c8f4cb9d7-gms9j,e1,true,3.0,94,94,0,100.0,0.0,3.85,9.34,13.12,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-07,nginx-testapp-5c8f4cb9d7-f5dz6,e2,true,3.0,94,94,0,100.0,0.0,3.83,11.86,17.86,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-08,nginx-testapp-5c8f4cb9d7-98g4h,e1,true,3.0,94,94,0,100.0,0.0,4.95,9.84,13.05,200:94,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-09,nginx-testapp-5c8f4cb9d7-fbhwx,e2,true,1.0,92,92,0,100.0,0.0,5.11,11.43,40.74,200:92,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
run-10,nginx-testapp-5c8f4cb9d7-ptrf6,e1,true,5.0,96,96,0,100.0,0.0,4.63,7.61,9.14,200:96,0,0,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,c1:Ready;c2:Ready;c3:Ready;e1:Ready;e2:Ready,cloud-iptables-manager-frq8w:1/1:Running;cloud-iptables-manager-klf4n:1/1:Running;cloud-iptables-manager-q5lgx:1/1:Running;cloudcore-589789b9fc-9c2tv:1/1:Running;cloudcore-589789b9fc-bphz8:1/1:Running;cloudcore-589789b9fc-qfdtb:1/1:Running;edge-eclipse-mosquitto-7l5gz:1/1:Running;edge-eclipse-mosquitto-szthb:1/1:Running;edgemesh-agent-wmrc8:1/1:Running;edgemesh-agent-x8vtd:1/1:Running
